# timeMillis,nanoTime,magnet_x,magnet_y,magnet_z,location_x,location_y,bearing
1532327890558,245121635769468,-33.12000000,-44.04000000,-42.60000000,8.594,21.100,0.00000000
1532327890579,245121655769434,-32.52000000,-44.28000000,-42.60000000,8.614,21.100,0.00000000
1532327890597,245121675769434,-32.57999800,-44.52000000,-42.71999700,8.632,21.100,0.00000000
1532327890616,245121695769434,-32.28000000,-44.57999800,-42.54000000,8.650,21.100,0.00000000
1532327890640,245121715769434,-32.04000000,-44.57999800,-42.54000000,8.673,21.100,0.00000000
1532327890658,245121735769434,-32.46000000,-44.52000000,-42.78000000,8.691,21.100,0.00000000
1532327890677,245121755769434,-32.28000000,-44.04000000,-43.02000000,8.709,21.100,0.00000000
1532327890699,245121775769434,-32.46000000,-43.73999800,-43.32000000,8.731,21.100,0.00000000
1532327890717,245121795769434,-32.64000000,-43.86000000,-43.44000000,8.748,21.100,0.00000000
1532327890738,245121815769434,-32.76000000,-43.55999800,-43.26000000,8.769,21.100,0.00000000
1532327890759,245121835769434,-32.88000000,-43.80000000,-43.44000000,8.789,21.100,0.00000000
1532327890776,245121855769434,-33.12000000,-43.86000000,-43.44000000,8.805,21.100,0.00000000
1532327890800,245121875769434,-33.54000000,-43.80000000,-43.62000000,8.829,21.100,0.00000000
1532327890933,245121895769434,-34.38000000,-43.68000000,-43.50000000,8.958,21.100,0.00000000
1532327890933,245121915769434,-34.98000000,-43.50000000,-42.78000000,8.958,21.100,0.00000000
1532327890933,245121935769434,-35.70000000,-43.62000000,-42.12000000,8.958,21.100,0.00000000
1532327890933,245121955769434,-36.23999800,-43.80000000,-41.39999800,8.958,21.100,0.00000000
1532327890934,245121975769434,-36.42000000,-44.21999700,-40.55999800,8.959,21.100,0.00000000
1532327890934,245121995769434,-36.66000000,-44.76000000,-40.26000000,8.959,21.100,0.00000000
1532327890941,245122015769400,-36.54000000,-45.05999800,-40.07999800,8.966,21.100,0.00000000
1532327890957,245122035769400,-36.78000000,-44.94000000,-40.02000000,8.981,21.100,0.00000000
1532327890977,245122055769433,-36.30000000,-45.36000000,-39.96000000,9.001,21.100,0.00000000
1532327891000,245122075769433,-35.94000000,-45.84000000,-39.89999800,9.023,21.100,0.00000000
1532327891017,245122095769433,-36.05999800,-45.48000000,-39.71999700,9.039,21.100,0.00000000
1532327891037,245122115769433,-35.39999800,-45.66000000,-39.66000000,9.059,21.100,0.00000000
1532327891058,245122135769466,-35.28000000,-45.42000000,-39.84000000,9.079,21.100,0.00000000
1532327891076,245122155769466,-35.52000000,-45.18000000,-39.84000000,9.097,21.100,0.00000000
1532327891098,245122175769466,-35.28000000,-45.48000000,-39.66000000,9.118,21.100,0.00000000
1532327891119,245122195769466,-35.57999800,-45.66000000,-39.48000000,9.138,21.100,0.00000000
1532327891137,245122215769466,-35.52000000,-45.78000000,-38.76000000,9.156,21.100,0.00000000
1532327891157,245122235769432,-35.52000000,-45.48000000,-38.76000000,9.175,21.100,0.00000000
1532327891179,245122255769432,-35.70000000,-45.71999700,-39.18000000,9.197,21.100,0.00000000
1532327891198,245122275769432,-35.39999800,-45.71999700,-38.94000000,9.215,21.100,0.00000000
1532327891217,245122295769432,-35.88000000,-45.78000000,-39.78000000,9.233,21.100,0.00000000
1532327891305,245122315769432,-36.00000000,-45.84000000,-40.02000000,9.319,21.100,0.00000000
1532327891305,245122335769432,-35.76000000,-45.71999700,-39.66000000,9.319,21.100,0.00000000
1532327891305,245122355769432,-35.82000000,-45.78000000,-39.60000000,9.319,21.100,0.00000000
1532327891305,245122375769432,-35.57999800,-45.84000000,-38.70000000,9.319,21.100,0.00000000
1532327891316,245122395769432,-35.88000000,-46.37999700,-38.34000000,9.330,21.100,0.00000000
1532327891337,245122415769432,-36.42000000,-46.26000000,-37.98000000,9.350,21.100,0.00000000
1532327891359,245122435769432,-37.32000000,-46.32000000,-37.20000000,9.371,21.100,0.00000000
1532327891377,245122455769432,-37.73999800,-46.14000000,-37.14000000,9.389,21.100,0.00000000
1532327891396,245122475769432,-38.10000000,-46.44000000,-36.23999800,9.407,21.100,0.00000000
1532327891418,245122495769432,-38.10000000,-47.21999700,-35.04000000,9.428,21.100,0.00000000
1532327891436,245122515769432,-37.86000000,-47.57999800,-34.32000000,9.446,21.100,0.00000000
1532327891457,245122535769432,-38.39999800,-48.05999800,-33.71999700,9.466,21.100,0.00000000
1532327891479,245122555769465,-38.82000000,-47.94000000,-33.05999800,9.488,21.100,0.00000000
1532327891497,245122575769465,-39.05999800,-48.12000000,-33.00000000,9.505,21.100,0.00000000
1532327891518,245122595769465,-39.60000000,-48.05999800,-33.30000000,9.526,21.100,0.00000000
