loc_x,loc_y,mag_x,mag_y,mag_z
39.2,34.9,-9.103268657,-9.144035224,-51.53939701
,,,,
39.2,36.1,-6.447250219,-0.296543866,-54.6406781
,,,,
39.2,37.3,-22.60222406,-8.018344662,-35.04950602
,,,,
39.2,38.5,-26.69623015,-17.42843382,-50.05535956
,,,,
39.2,39.7,-44.08530465,9.679096124,-52.2694845
,,,,
39.2,40.9,-22.04615448,-11.43425522,-32.76303806
,,,,
39.2,42.1,-30.89145912,22.33536934,-54.95852993
,,,,
39.2,43.3,-31.48602121,6.555314167,-45.80767955
,,,,
39.2,44.5,-37.04981314,-0.444988482,-22.15897007
,,,,
39.2,45.7,-21.0833694,-8.33239209,-17.56056642
,,,,
40.1,45.7,-28.34899926,13.59415778,-70.96223037
,,,,
40.1,44.5,-19.29001579,-2.659217068,-60.04083383
,,,,
40.1,43.3,-41.28185038,-9.744867895,-65.68626466
,,,,
40.1,42.1,-36.64570752,5.043259173,-56.92501128
,,,,
40.1,40.9,-37.89806119,-12.75363881,-41.54592164
,,,,
40.1,39.7,-21.52814887,5.118084887,-55.89604361
,,,,
40.1,38.5,-57.92755111,0.473994403,-16.2089363
,,,,
40.1,37.3,-35.23024526,-13.25248248,-46.51217591
,,,,
40.1,36.1,-18.52353088,-15.13399265,-42.49488676
,,,,
40.1,34.9,-17.54443308,11.10846677,-54.44866015
,,,,
40.1,33.7,-21.79373083,-7.397483759,-43.50213083
,,,,
40.1,32.5,-14.03834478,-10.60833254,-46.32963881
,,,,
40.1,31.3,-5.843896818,1.16147153,-54.35139091
,,,,
40.1,30.1,-13.37517313,-11.76755134,-47.21799328
,,,,
40.1,28.9,-28.50220515,1.300912799,-51.72414118
,,,,
40.1,27.7,-19.31719179,26.91296194,-44.83081567
,,,,
40.1,26.5,-35.96114074,-0.134548541,-73.20570222
,,,,
40.1,25.3,-29.95090224,3.858549627,-56.63215821
,,,,
40.1,24.1,-14.79070902,-19.13995263,-74.59724511
,,,,
40.1,22.9,-30.49781926,0.77988259,-52.83757037
,,,,
40.1,21.7,-20.57681778,-13.91202444,-36.97069111
,,,,
40.1,20.5,-36.20138346,-10.42343241,-25.04344511
,,,,
40.1,19.3,-10.10152748,24.03677259,-44.46402741
,,,,
40.1,18.1,-33.96245778,-5.911944,-9.543388444
,,,,
40.1,16.9,-19.37133111,16.75977704,-49.62992963
,,,,
40.1,15.7,-17.74480362,4.468237536,-65.98652464
,,,,
40.1,14.5,-40.66327444,7.33932782,-3.776148571
,,,,
40.1,13.3,-23.50546119,-17.5179791,-68.15441343
,,,,
40.1,12.1,-15.4960797,-11.30554677,-71.92103985
,,,,
40.1,10.9,-18.23995896,-8.20231709,-57.98069104
,,,,
40.1,9.7,-30.84341852,-16.86994444,-45.75619481
,,,,
41,9.7,-39.72180896,-20.27335,-45.12876866
,,,,
41,10.9,-30.41188741,-6.676737556,-58.71182889
,,,,
41,12.1,-34.61525735,-4.41124875,-31.79487574
,,,,
41,13.3,-17.16667721,22.99599265,-41.28173088
,,,,
41,14.5,-21.12470154,-2.250389638,-69.34019615
,,,,
41,15.7,-29.03497059,1.66770711,-57.75187132
,,,,
41,16.9,-11.64335083,4.103446439,-61.67378485
,,,,
41,18.1,-36.07170597,-4.774930448,-49.4817
,,,,
41,19.3,-28.38119699,-6.019649699,-50.32934812
,,,,
41,20.5,-8.278019023,17.93887444,-56.3296
,,,,
41,21.7,-19.05311805,15.48007218,-67.96611278
,,,,
41,22.9,-10.74283918,17.59135373,-23.01083731
,,,,
41,24.1,-35.96220956,-9.383009559,-42.09367868
,,,,
41,25.3,-6.504923778,-30.54995852,-61.44465481
,,,,
41,26.5,-30.87721504,-0.213623015,-61.11313459
,,,,
